Instancia,n,capacidad-camion,k-opt,costo-opt,Algoritmo,costo-sol,k-sol,tiempo
P-n76-k4, 76, 350,  4 , 593, Savings, 1479.021253, 22, 3.473585
P-n76-k5, 76, 280,  5 , 627, Savings, 1479.021253, 22, 4.223220
P-n101-k4, 101, 400,4 , 400, Savings,  1587.176930, 20, 6.689338
X-n101-k25,  101, 206, 25, 27591 , Savings, 31111.703122, 29, 7.588129
X-n106-k14,  106, 600, 14, 26362 , Savings, 43690.213572, 22, 9.443093
X-n110-k13,  110, 66,  13, 14971 , Savings, 26767.265461, 27, 8.625355
X-n115-k10,  115, 169, 10, 12747 , Savings, 26386.176169, 27, 10.063243
X-n120-k6,  120,  21,  6,  13332 , Savings, 40357.198130, 23, 12.927695
X-n125-k30,  125, 188, 30, 55539 , Savings, 67225.109439, 36, 14.822673
X-n129-k18,  129, 39,  18, 28940 , Savings, 38794.135428, 21, 15.003828
X-n134-k13,  134, 643, 13, 10916 , Savings, 21609.816036, 24, 16.840784
X-n139-k10,  139, 106, 10, 13590 , Savings, 30990.061342, 31, 15.783549
X-n143-k7,  143,  1190,7,  15700 , Savings, 55645.079831, 29, 21.311553
X-n148-k46,  148, 18,  46, 43448 , Savings, 48231.119179, 51, 24.960051
X-n153-k22,  153, 144, 22, 21220 , Savings, 30726.803841, 35, 23.415734
X-n157-k13,  157, 12,  13, 16876 , Savings, 35793.831314, 30, 25.204847
X-n162-k11,  162, 1174,11, 14138 , Savings,  32745.657866, 31, 23.525474
X-n167-k10,  167, 133, 10, 20557 , Savings, 60599.337987, 32, 31.706119
X-n172-k51,  172, 161, 51, 45607 , Savings, 51392.162796, 58, 35.931093
X-n176-k26,  176, 142, 26, 47812 , Savings, 64729.389782, 37, 37.357499
X-n181-k23,  181, 8,   23, 25569 , Savings, 39563.491366, 36, 36.440680
X-n186-k15,  186, 974, 15, 24145 , Savings, 53545.302049, 35, 44.046127
X-n190-k8,  190,  138, 8,  16980 , Savings, 68669.687046, 35, 51.710888
X-n195-k51,  195, 181, 51, 44225 , Savings, 50181.829529, 57, 43.789264
X-n200-k36,  200, 402, 36, 58578 , Savings, 74299.341872, 45, 55.015714
X-n204-k19,  204, 836, 19, 19565 , Savings, 38509.362278, 34, 43.751117
X-n209-k16,  209, 101, 16, 30656 , Savings, 66296.443870, 34, 58.138694
X-n214-k11,  214, 944, 11, 10856 , Savings, 27799.679748, 37, 63.075066
X-n219-k73,  219, 3,   73, 117595, Savings, 121706.482125, 74, 78.928643
X-n223-k34,  223, 37,  34, 40437 , Savings, 53765.917834, 42, 63.109975
X-n228-k23,  228, 154, 23, 25742 , Savings, 47686.118698, 44, 66.662187
X-n233-k16,  233, 631, 16, 19230 , Savings, 46234.359007, 46, 63.549090
X-n237-k14,  237, 18,  14, 27042 , Savings, 75738.553954, 42, 82.991599
X-n242-k48,  242, 28,  48, 82751 , Savings, 96980.058499, 53, 92.930536
X-n247-k50,  247, 134, 47, 37274 , Savings, 46505.374409, 60, 94.011671
X-n251-k28,  251, 69,  28, 38684 , Savings, 59014.861199, 44, 91.701306
B-n31-k5 , 31, 100,5, 672, Savings, 1168.987979, 9, 0.387912
B-n34-k5 , 34, 100,5, 788, Savings, 1322.897065, 10, 0.439312
B-n35-k5 , 35, 100,5, 955, Savings, 2035.815217, 12, 0.488761
B-n38-k6 , 38, 100,6, 805, Savings, 1438.689566, 11, 0.586766
B-n39-k5 , 39, 100,5, 549, Savings, 1015.777590, 8, 0.585786
B-n41-k6 , 41, 100,6, 829, Savings, 1140.381823, 10, 0.718767
B-n43-k6 , 43, 100,6, 742, Savings, 1398.339781, 11, 0.840888
B-n44-k7 , 44, 100,7, 909, Savings, 1356.344472, 11, 0.881134
B-n45-k5 , 45, 100,5, 751, Savings, 1269.495400, 11, 0.825398
B-n45-k6 , 45, 100,6, 678, Savings, 1129.945206, 12, 0.852639
B-n50-k7 , 50, 100,7, 741, Savings, 1341.545551, 14, 1.345633
B-n50-k8 , 50, 100,8, 1312, Savings, 1913.598050, 13, 2.172008
B-n51-k7 , 51, 100,7, 1032, Savings, 1779.570726, 14, 1.935782
B-n52-k7 , 52, 100,7, 747, Savings, 1530.174598, 14, 2.118071
B-n56-k7 , 56, 100,7, 707, Savings, 1479.124931, 14, 2.522715
B-n57-k7 , 57, 100,7, 1153, Savings, 2396.036000, 16, 2.170524
B-n57-k9 , 57, 100,9, 1598, Savings, 2252.760344, 13, 1.659517
B-n63-k10, 63, 100,10,1496, Savings,  2555.543389, 16, 2.310015
